id,name,change_name_to,address,search_strategy,search_query,research_query,matched_title,matched_category,matched_address,matched_place_url,confidence,needs_check,mismatch_reason,scraped_phone,scraped_homepage_url,scraped_avg_score,scraped_difficulty,scraped_difficulty_text,reservation_available,scraped_price_text,scraped_price_min,scraped_price_max,scraped_price_type,scraped_price_checked_at,note
gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),뉴스프링빌CC,경기도 이천시 모가면 사실로 527번길 158,address_place,경기도 이천시 모가면 사실로 527번길 158,,뉴스프링빌 컨트리클럽(P),퍼블릭골프장,경기 이천시 모가면 사실로527번길 158,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EB%AA%A8%EA%B0%80%EB%A9%B4%20%EC%82%AC%EC%8B%A4%EB%A1%9C%20527%EB%B2%88%EA%B8%B8%20158/place/1061262951?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201751&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EB%AA%A8%EA%B0%80%EB%A9%B4%20%EC%82%AC%EC%8B%A4%EB%A1%9C%20527%EB%B2%88%EA%B8%B8%20158",high,n,,,,94.7,9.2,9.2/10,n,,,,,,candidates: 뉴스프링빌 컨트리클럽(P)/퍼블릭골프장 | 세바스챤 뉴스프링빌CC점/골프웨어 | 동승골프앤리조트/기업 | 뉴스프링빌CC 전기차충전소/전기차충전소
gc-1f14d0ca89b4,가산CC,가산CC,경상북도 칠곡군 가산면 학하2길 54-171,address_place,경상북도 칠곡군 가산면 학하2길 54-171,,가산CC,퍼블릭골프장,경북 칠곡군 가산면 학하2길 54-171 가산CC,"https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EA%B0%80%EC%82%B0%EB%A9%B4%20%ED%95%99%ED%95%982%EA%B8%B8%2054-171/place/2041037057?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201802&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EA%B0%80%EC%82%B0%EB%A9%B4%20%ED%95%99%ED%95%982%EA%B8%B8%2054-171",high,n,,054-970-3700,https://www.gasancc.com,95.7,9.6,9.6/10,y,,,,,2026-06-20T09:02:40.417Z,candidates: 가산CC/퍼블릭골프장 | 카페베네 가산컨트리클럽지점/카페 | 마이다스구미골프아카데미주차장/주차장 | 가산CC프로샵/골프용품
gc-a862e6d054f2,빅토리아일반대중골프장,빅토리아GC,경기도 여주시 가남읍 송삼로 191,address_place,경기도 여주시 가남읍 송삼로 191,,빅토리아 골프클럽,퍼블릭골프장,경기 여주시 가남읍 송삼로 191,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%AC%EC%A3%BC%EC%8B%9C%20%EA%B0%80%EB%82%A8%EC%9D%8D%20%EC%86%A1%EC%82%BC%EB%A1%9C%20191/place/38520438?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201753&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%AC%EC%A3%BC%EC%8B%9C%20%EA%B0%80%EB%82%A8%EC%9D%8D%20%EC%86%A1%EC%82%BC%EB%A1%9C%20191",high,n,,031-883-0111,http://www.victoriagc.co.kr/,92.4,5.7,5.7/10,n,,,,,,candidates: 빅토리아 골프클럽/퍼블릭골프장 | 빅토리아골프클럽 클럽하우스/클럽하우스 | 빅토리아GC(여주) 전기차충전소/전기차충전소 | 국민 빅토리아골프클럽 ATM/현금인출기
gc-15dd2e00d6c7,오펠골프클럽,군위오펠GC,대구광역시 군위군 산성면 부흥로 227,address_place,대구광역시 군위군 산성면 부흥로 227,,군위오펠GC,퍼블릭골프장,대구광역시 군위군 산성면 부흥로 227,"https://map.naver.com/p/search/%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B5%B0%EC%9C%84%EA%B5%B0%20%EC%82%B0%EC%84%B1%EB%A9%B4%20%EB%B6%80%ED%9D%A5%EB%A1%9C%20227/place/33242218?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201753&locale=ko&svcName=map_pcv5&searchText=%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B5%B0%EC%9C%84%EA%B5%B0%20%EC%82%B0%EC%84%B1%EB%A9%B4%20%EB%B6%80%ED%9D%A5%EB%A1%9C%20227",high,n,,,,,,,n,,,,,,candidates: 군위오펠GC/퍼블릭골프장 | 군위오펠GC클럽하우스/클럽하우스 | 군위군 군위오펠골프클럽 전기차충전소/전기차충전소 | 군위오펠GC주차장/주차장
gc-9a7cb8103191,오크밸리회원제골프장,오크밸리CC,원주시 지정면 오크밸리1길 66,clubhouse_fallback,오크밸리CC,,월송리 보리밥,월송리CC 클럽하우스,원주시 지정면 오크밸리1길 66,,low,y,golf_category_not_found_used_clubhouse,,,,,,n,,,,,,no golf or clubhouse category in address places; name search direct detail panel
gc-7b4833dc4475,월송리 컨트리클럽,월송리CC,원주시 지정면 오크밸리2길 250,failed,원주시 지정면 오크밸리2길 250,,월송리CC,퍼블릭골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-40bd08295048,Oak Hills컨트리클럽,오크힐스CC,강원 원주시 지정면 오크밸리2길 132,failed,강원 원주시 지정면 오크밸리2길 132,,오크힐스CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,센추리21CC,원주시 문막읍 궁말길 193,failed,원주시 문막읍 궁말길 193,,센추리21CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-d2426892b3a5,센추리21퍼블릭,센추리21CC(퍼블릭),원주시 문막읍 궁말길 193,address_place,원주시 문막읍 궁말길 193,,센추리21CC,회원제골프장,강원 원주시 문막읍 궁말길 193,"https://map.naver.com/p/search/%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EB%A7%89%EC%9D%8D%20%EA%B6%81%EB%A7%90%EA%B8%B8%20193/place/11613511?c=14.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201817&locale=ko&svcName=map_pcv5&searchText=%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EB%A7%89%EC%9D%8D%20%EA%B6%81%EB%A7%90%EA%B8%B8%20193",high,n,,033-733-1000,http://www.century21cc.co.kr/,90.2,2.4,2.4/10,n,,,,,,"candidates: 센추리21CC/회원제골프장 | 센추리21CCI 클럽하우스/클럽하우스 | 센추리21CC레이크텔/콘도,리조트 | 센추리21CC제2주차장/주차장; retry 1 succeeded"
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체CC 비발디파크 WEST,홍천군 서면 한치골길 200,failed,홍천군 서면 한치골길 200,,소노펠리체CC 비발디파크 WEST,퍼블릭골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체CC 비발디파크 MOUNTAIN,홍천군 서면 한치골길 264,skipped,소노펠리체 컨트리클럽 비발디파크 마운틴,,배스킨라빈스 비발디파크점,아이스크림,,,low,y,category_not_golf_course,,,,,,,,,,,,category_not_golf_course: 배스킨라빈스 비발디파크점 / 아이스크림; no golf or clubhouse category in address places; change_name: no golf or clubhouse category in name search; name: no golf or clubhouse category in name search
gc-67d0f65e6b2d,설해원더 레전드 코스,설해원,양양군 손양면 공항로 230,failed,양양군 손양면 공항로 230,,설해원 골프,퍼블릭골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-e684f84c8fa4,레이크사이드CC(대중제),레이크사이드CC(퍼블릭),경기도 용인시 처인구 모현읍 능원로 181,failed,경기도 용인시 처인구 모현읍 능원로 181,,레이크사이드CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-0c833ff6d95f,블루원용인CC(회원제),블루원용인CC(회원제),경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,address_place,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,,블루원 용인CC,회원제골프장,경기 용인시 처인구 원삼면 보개원삼로1534번길 40 ClubHouse,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%B2%98%EC%9D%B8%EA%B5%AC%20%EC%9B%90%EC%82%BC%EB%A9%B4%20%EB%B3%B4%EA%B0%9C%EC%9B%90%EC%82%BC%EB%A1%9C%201534%EB%B2%88%EA%B8%B8%2040/place/11614137?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201826&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%B2%98%EC%9D%B8%EA%B5%AC%20%EC%9B%90%EC%82%BC%EB%A9%B4%20%EB%B3%B4%EA%B0%9C%EC%9B%90%EC%82%BC%EB%A1%9C%201534%EB%B2%88%EA%B8%B8%2040",high,n,,1899-1888,http://yi.blueone.com/,92.4,5.6,5.6/10,y,,,,,2026-06-20T09:26:42.128Z,candidates: 블루원 용인CC/회원제골프장 | 블루원 용인CC클럽하우스/클럽하우스 | 블루원 용인CCWEST코스그늘집/부속건물 | 블루원스타트하우스/한식; retry 1 succeeded
gc-bcdfbfe815c7,비에이비스타골프장(회원),비에이비스타CC(회원제),경기도 이천시 모가면 어농로 272,failed,경기도 이천시 모가면 어농로 272,,비에이비스타CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-9de1c40fef77,블랙스톤골프장(대중형),"블랙스톤CC(퍼블릭, 서코스)",경기도 이천시 장호원읍 장여로 459-160,address_place,경기도 이천시 장호원읍 장여로 459-160,,블랙스톤리조트이천,회원제골프장,경기 이천시 장호원읍 장여로 459-160 블랙스톤이천,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EC%9E%A5%ED%98%B8%EC%9B%90%EC%9D%8D%20%EC%9E%A5%EC%97%AC%EB%A1%9C%20459-160/place/97280723?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201831&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EC%9E%A5%ED%98%B8%EC%9B%90%EC%9D%8D%20%EC%9E%A5%EC%97%AC%EB%A1%9C%20459-160",high,n,title differs from course name,031-643-2000,https://www.instagram.com/bsic_sns,94.6,9.1,9.1/10,n,,,,,,candidates: 블랙스톤리조트이천/회원제골프장 | 블랙스톤이천GC 클럽하우스/클럽하우스 | 블랙스톤리조트이천2 전기차충전소/전기차충전소 | 블랙스톤리조트이천1 전기차충전소/전기차충전소; retry 2 succeeded
gc-9d709ff43c33,몽베르 컨트리클럽(비회원제),몽베르CC(퍼블릭),경기 포천시 영북면 산정리 산 60,failed,몽베르CC,,서비스 더보기,몽베르컨트리클럽,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,no golf or clubhouse category in address places; failed_to_read_place_detail
gc-8a797fe2213a,금강컨트리클럽(회원),금강CC(회원제),경기도 여주시 가남읍 여주남로 541,failed,경기도 여주시 가남읍 여주남로 541,,금강CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-3f6cace5bf14,금강컨트리클럽(대중),"금강CC(퍼블릭, 동코스)",경기도 여주시 가남읍 여주남로 541,address_place,경기도 여주시 가남읍 여주남로 541,,금강CC,회원제골프장,경기 여주시 가남읍 여주남로 541 KCC여주공장,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%AC%EC%A3%BC%EC%8B%9C%20%EA%B0%80%EB%82%A8%EC%9D%8D%20%EC%97%AC%EC%A3%BC%EB%82%A8%EB%A1%9C%20541/place/11612827?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201838&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%AC%EC%A3%BC%EC%8B%9C%20%EA%B0%80%EB%82%A8%EC%9D%8D%20%EC%97%AC%EC%A3%BC%EB%82%A8%EB%A1%9C%20541",high,n,,031-880-6000,https://www.kccgolf.co.kr,93.7,8.1,8.1/10,n,,,,,,"candidates: 금강CC/회원제골프장 | KCC글라스 여주공장/유리,유리제품제조 | 국민은행 금강CC ATM/현금인출기 | 해인기업/제조업"
gc-6259847b3bba,스카이밸리골프장(비회원),스카이밸리CC(퍼블릭),경기도 여주시 북내면 운촌길 254,failed,스카이밸리골프장,,,,,,low,y,,,,,,,,,,,,,failed to click address place candidate; change_name: no golf or clubhouse category in name search; name: no golf or clubhouse category in name search
gc-6b7f785d4813,힐스카이C.C,힐스카이CC,경상북도 경주시 천북면 천강로 412-299,failed,힐스카이C.C,,,,,,low,y,,,,,,,,,,,,,failed to click address place candidate; change_name: no golf or clubhouse category in name search; name: no golf or clubhouse category in name search
gc-9adfe4aa2a07,안동리버힐C.C,안동리버힐CC,경상북도 안동시 풍천면 풍일로 1572,address_place,경상북도 안동시 풍천면 풍일로 1572,,안동리버힐컨트리클럽,회원제골프장,경북 안동시 풍천면 풍일로 1572,"https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%95%88%EB%8F%99%EC%8B%9C%20%ED%92%8D%EC%B2%9C%EB%A9%B4%20%ED%92%8D%EC%9D%BC%EB%A1%9C%201572/place/1534235933?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201846&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%95%88%EB%8F%99%EC%8B%9C%20%ED%92%8D%EC%B2%9C%EB%A9%B4%20%ED%92%8D%EC%9D%BC%EB%A1%9C%201572",high,n,,,,94.5,9.1,9.1/10,y,,,,,2026-06-20T09:46:38.610Z,candidates: 안동리버힐컨트리클럽/회원제골프장 | 안동리버힐컨트리클럽 클럽하우스/클럽하우스 | 안동리버힐컨트리클럽코스관리동/부속건물 | 우리은행 안동리버힐CC ATM/현금인출기
gc-1730ca5fe304,뉴스프링빌Ⅱ,뉴스프링빌2CC,경상북도 상주시 모서면 백화로 40,address_place,경상북도 상주시 모서면 백화로 40,,뉴스프링빌2CC,퍼블릭골프장,경북 상주시 모서면 백화로 40,"https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%83%81%EC%A3%BC%EC%8B%9C%20%EB%AA%A8%EC%84%9C%EB%A9%B4%20%EB%B0%B1%ED%99%94%EB%A1%9C%2040/place/12861313?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201847&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%83%81%EC%A3%BC%EC%8B%9C%20%EB%AA%A8%EC%84%9C%EB%A9%B4%20%EB%B0%B1%ED%99%94%EB%A1%9C%2040",high,n,,02-2285-1700,http://www.newspring.co.kr/,91.4,3.9,3.9/10,y,,,,,2026-06-20T09:47:42.215Z,candidates: 뉴스프링빌2CC/퍼블릭골프장 | 뉴스프링빌2CC클럽하우스/클럽하우스 | 뉴스프링빌2CC 전기차충전소/전기차충전소 | 동승레저/기업; retry 1 succeeded
gc-5607a255716b,파라지오C.C,파라지오CC,경상북도 의성군 봉양면 농공마전길 167,failed,,,,,,,low,y,circuit_breaker,,,,,,,,,,,,과도한 접근 / CAPTCHA — batch stop [stage:click_place]
gc-66dd9ef01893,파미힐스C.C,파미힐스CC,경상북도 칠곡군 왜관읍 봉계로 263,failed,파미힐스C.C,,,,,,low,y,,,,,,,,,,,,,failed to click address place candidate; change_name: no golf or clubhouse category in name search; name: no golf or clubhouse category in name search
gc-3d725200e925,울산골프장,울산CC,울주군 웅촌면 웅촌로 1,address_place,울주군 웅촌면 웅촌로 1,,울산CC,회원제골프장,울산 울주군 웅촌면 웅촌로 1,"https://map.naver.com/p/search/%EC%9A%B8%EC%A3%BC%EA%B5%B0%20%EC%9B%85%EC%B4%8C%EB%A9%B4%20%EC%9B%85%EC%B4%8C%EB%A1%9C%201/place/11614627?c=14.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201852&locale=ko&svcName=map_pcv5&searchText=%EC%9A%B8%EC%A3%BC%EA%B5%B0%20%EC%9B%85%EC%B4%8C%EB%A9%B4%20%EC%9B%85%EC%B4%8C%EB%A1%9C%201",high,n,,052-225-0707,http://www.ulsancc.co.kr/,89.8,2.1,2.1/10,y,,,,,2026-06-20T09:52:19.695Z,candidates: 울산CC/회원제골프장 | 울산컨트리클럽 전기차충전소/전기차충전소 | 경남 울산CC ATM/현금인출기 | 케이와이골프/골프용품
gc-dfddaf985536,순천CC,순천CC,전남 순천시 별량면 동화사길 85,address_place,전남 순천시 별량면 동화사길 85,,순천CC,퍼블릭골프장,전남 순천시 별량면 동화사길 85,"https://map.naver.com/p/search/%EC%A0%84%EB%82%A8%20%EC%88%9C%EC%B2%9C%EC%8B%9C%20%EB%B3%84%EB%9F%89%EB%A9%B4%20%EB%8F%99%ED%99%94%EC%82%AC%EA%B8%B8%2085/place/37089428?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201852&locale=ko&svcName=map_pcv5&searchText=%EC%A0%84%EB%82%A8%20%EC%88%9C%EC%B2%9C%EC%8B%9C%20%EB%B3%84%EB%9F%89%EB%A9%B4%20%EB%8F%99%ED%99%94%EC%82%AC%EA%B8%B8%2085",high,n,,061-720-0000,http://suncheoncc.co.kr/,94.4,8.9,8.9/10,y,,,,,2026-06-20T09:52:41.188Z,candidates: 순천CC/퍼블릭골프장 | 순천CC 클럽하우스/클럽하우스 | 기업은행 순천CC ATM/현금인출기 | 힐사이드골프장/골프연습장
gc-a6fee0f415b7,화순CC,화순CC,전남 화순군 도곡면 천태로 1000-151,failed,화순CC,,,,,,low,y,,,,,,,,,,,,,failed to click address place candidate; change_name: failed to click name search candidate; name: failed to click name search candidate
gc-7c044b23d1a4,에스지아름다운골프&리조트,SG아름다운골프&리조트,영인면 영인산로 440,address_place,영인면 영인산로 440,,SG아름다운골프&리조트,퍼블릭골프장,충남 아산시 영인면 영인산로 440 SG아름다운골프앤리조트,"https://map.naver.com/p/search/%EC%98%81%EC%9D%B8%EB%A9%B4%20%EC%98%81%EC%9D%B8%EC%82%B0%EB%A1%9C%20440/place/13146759?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201855&locale=ko&svcName=map_pcv5&searchText=%EC%98%81%EC%9D%B8%EB%A9%B4%20%EC%98%81%EC%9D%B8%EC%82%B0%EB%A1%9C%20440",high,n,,041-536-8000,http://www.arumdaunresort.com/,94.5,9,9.0/10,n,,,,,,candidates: SG아름다운골프&리조트/퍼블릭골프장 | SG아름다운골프&리조트 클럽하우스/클럽하우스 | 신한 온양금융센터 ATM 아름다운CC/은행 | 아름다운골프장 레스토랑/골프연습장
gc-41c9fac17790,㈜호텔롯데 스카이힐 부여CC,롯데스카이힐부여CC,부여군 규암면 백제문로 470,failed,㈜호텔롯데 스카이힐 부여CC,,,,,,low,y,,,,,,,,,,,,,failed to click address place candidate; change_name: no golf or clubhouse category in name search; name: no golf or clubhouse category in name search
gc-98e3f829ab99,힐마루컨트리클럽 (대중제),힐마루CC(퍼블릭),창녕군 장마면 영산계성로 469-195,failed,,,,,,,low,y,circuit_breaker,,,,,,,,,,,,과도한 접근 / CAPTCHA — batch stop [stage:address_search]
gc-9eb46dae9c9d,타이거CC 골프장,타이거CC,경기도 파주시 법원읍 술이홀로 1803,address_place,경기도 파주시 법원읍 술이홀로 1803,,타이거CC,퍼블릭골프장,경기 파주시 법원읍 술이홀로 1803 클럽하우스,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%88%A0%EC%9D%B4%ED%99%80%EB%A1%9C%201803/place/32848690?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201703&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%88%A0%EC%9D%B4%ED%99%80%EB%A1%9C%201803",high,n,,031-958-8900,http://www.tigercc.co.kr/,93.7,8.2,8.2/10,y,"weekday min (6/22): 120,000원; weekend max (6/21): 150,000원",120000,150000,naver_reservation,2026-06-20T08:03:34.139Z,candidates: 타이거CC/퍼블릭골프장 | 그늘집 타이거CC점/양식 | 타이거CC 클럽하우스/클럽하우스 | 타이거CC주차장2/주차장
gc-de756338755f,해라컨트리클럽,,부산광역시 강서구 과학산단로 306번길 77,address_place,부산광역시 강서구 과학산단로 306번길 77,,해라CC,퍼블릭골프장,부산 강서구 과학산단로306번길 77,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EA%B3%BC%ED%95%99%EC%82%B0%EB%8B%A8%EB%A1%9C%20306%EB%B2%88%EA%B8%B8%2077/place/21542200?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201700&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EA%B3%BC%ED%95%99%EC%82%B0%EB%8B%A8%EB%A1%9C%20306%EB%B2%88%EA%B8%B8%2077",high,n,,051-973-7400,http://www.haeracc.co.kr/,93.7,8.3,8.3/10,y,,,,,2026-06-20T08:00:27.123Z,candidates: 해라CC/퍼블릭골프장 | 해라CC 클럽하우스/클럽하우스 | 엔케이레져앤리조트/골프연습장 | 해라컨트리클럽 전기차충전소/전기차충전소
gc-2abf3143e489,스톤비치컨트리클럽,,충남 태안군 근흥면 정죽리 2261-1,failed,,,,,,,low,y,circuit_breaker,,,,,,,,,,,,과도한 접근 / CAPTCHA — batch stop [stage:address_search]
