id,name,address,query,source,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_confidence,needs_review,reason,source_url,collected_at
gc-fa1419df8b1e,남춘천컨트리클럽,춘천시 신동면 오봉길 156,남춘천컨트리클럽,naver_scrape,남춘천CC,강원 춘천시 신동면 오봉길 156,033-269-3000,http://www.namchuncheon.co.kr/,가성비 한우 9800원,,,unknown,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous",https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%EC%B6%98%EC%B2%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T05:06:23.871Z
gc-56c3be8c5a61,더플레이어스 골프클럽,춘천시 동산면 새술막길 438,더플레이어스 골프클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4%EC%8A%A4%20%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.804Z
gc-3eb069c5fb2a,동서울레스피아,원주시 지정면 신평석화로 236,동서울레스피아,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%8F%99%EC%84%9C%EC%9A%B8%EB%A0%88%EC%8A%A4%ED%94%BC%EC%95%84,2026-06-19T04:20:12.816Z
gc-18f9f355721d,라데나골프클럽,춘천시 신동면 칠전동길 72,라데나골프클럽,naver_scrape,라데나 골프클럽,강원 춘천시 신동면 칠전동길 72 라데나클럽,033-260-1114,https://www.ladena.co.kr,"1인 250,000원",250000,250000,reservation_price,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; price lines: 3",https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%8D%B0%EB%82%98%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T05:06:05.728Z
gc-a78a36b9d428,라비에벨컨트리클럽,춘천시 동산면 종자리로 436,라비에벨컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%B9%84%EC%97%90%EB%B2%A8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.806Z
gc-6b8298356e4e,로드힐스골프클럽,춘천시 동산면 종자리로 148-16,로드힐스골프클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%A1%9C%EB%93%9C%ED%9E%90%EC%8A%A4%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.805Z
gc-d7a401a860d3,베어크리크 춘천,춘천시 신동면 김유정로 730,베어크리크 춘천,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EC%96%B4%ED%81%AC%EB%A6%AC%ED%81%AC%20%EC%B6%98%EC%B2%9C,2026-06-19T04:20:12.807Z
gc-3b9faaf01e87,성문안 컨트리클럽,원주시 지정면 월송석화로 431,성문안 컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%B1%EB%AC%B8%EC%95%88%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.811Z
gc-920a66bac706,센추리21컨트리클럽,원주시 문막읍 궁말길 193,센추리21컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.812Z
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,원주시 문막읍 궁말길 193,센추리21컨트리클럽Ⅱ,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%E2%85%A1,2026-06-19T04:20:12.813Z
gc-d2426892b3a5,센추리21퍼블릭,원주시 문막읍 궁말길 193,센추리21퍼블릭,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%ED%8D%BC%EB%B8%94%EB%A6%AD,2026-06-19T04:20:12.813Z
gc-669d8ad13333,엘리시안 강촌컨트리클럽,춘천시 남산면 북한강변길 688,엘리시안 강촌컨트리클럽,naver_scrape,엘리시안강촌CC,강원 춘천시 남산면 북한강변길 688,033-260-2122,https://www.elysian.co.kr/about-gangchon/golf,"주중 90,000원",90000,90000,unknown,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage ambiguous",https://search.naver.com/search.naver?where=nexearch&query=%EC%97%98%EB%A6%AC%EC%8B%9C%EC%95%88%20%EA%B0%95%EC%B4%8C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T05:06:12.036Z
gc-3ae54b5361c3,오너스골프클럽,춘천시 남산면 동촌로 667,오너스골프클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EB%84%88%EC%8A%A4%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.803Z
gc-9a7cb8103191,오크밸리회원제골프장,원주시 지정면 오크밸리1길 66,오크밸리회원제골프장,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%ED%81%AC%EB%B0%B8%EB%A6%AC%ED%9A%8C%EC%9B%90%EC%A0%9C%EA%B3%A8%ED%94%84%EC%9E%A5,2026-06-19T04:20:12.808Z
gc-7b4833dc4475,월송리 컨트리클럽,원주시 지정면 오크밸리2길 250,월송리 컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%9B%94%EC%86%A1%EB%A6%AC%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.809Z
gc-60319bf1693c,인천그랜드컨트리클럽,인천시 서구 원석로 195,인천그랜드컨트리클럽,naver_scrape,인천그랜드CC,인천 서구 원석로 195,032-584-3111,http://www.incheongrand.cc/,그린은 걸레에 모래가 가득이고 그린피는 277000으로 넘 비싸고 주변은 온통 공사고 절대 오면 안될듯,277000,277000,green_fee,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 3; homepage ambiguous; price lines: 4",https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B8%EC%B2%9C%EA%B7%B8%EB%9E%9C%EB%93%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T05:05:58.571Z
gc-5acca8d60a68,제이드팰리스 골프클럽,춘천시 남산면 경춘로 212-30,제이드팰리스 골프클럽,naver_scrape,제이드팰리스 골프클럽,강원 춘천시 남산면 경춘로 212-30,033-260-8000,http://www.jadepalacegc.com,"주말: 30,000원 ; 구분: 준회원, 평일: 90,000원, 주말: 90,000원",30000,90000,unknown,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; price lines: 3",https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9C%EC%9D%B4%EB%93%9C%ED%8C%B0%EB%A6%AC%EC%8A%A4%20%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T05:06:18.084Z
gc-9e436bbbf364,파가니카컨트리클럽,춘천시 남면 소주고개로 145-10,파가니카컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EA%B0%80%EB%8B%88%EC%B9%B4%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.804Z
gc-52110494ceac,파크밸리골프클럽,원주시 소초면 바우실길 281,파크밸리골프클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%ED%81%AC%EB%B0%B8%EB%A6%AC%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.814Z
gc-3526f59318a4,휘슬링락컨트리클럽,춘천시 남산면 동촌로 501,휘슬링락컨트리클럽,naver_scrape,휘슬링락CC,강원 춘천시 남산면 동촌로 501,033-269-2101,http://www.whistlingrockcc.com/,"주말 그린피면제 준회원 주중 그린피면제 / 주말 50%할인 비회원 주중 270,000원",270000,270000,green_fee,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; price lines: 2",https://search.naver.com/search.naver?where=nexearch&query=%ED%9C%98%EC%8A%AC%EB%A7%81%EB%9D%BD%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T05:06:29.881Z
gc-40bd08295048,Oak Hills컨트리클럽,원주시 지정면 오크밸리2길 58,Oak Hills컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=Oak%20Hills%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.810Z
